Week,Town,Year,Month,Case_Count,AvgTemp,TempRange,AvgHumidity,SunshineHours,RainfallHours,Rainfall,BI,CI,HI,LI,AI,PI,Con100HH,RT,RT_level
2011-01-03,七股區,2011,1,0.0,16.014285714285712,7.428571428571429,72.42857142857143,14.0,0.7,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,1
2011-01-10,七股區,2011,1,0.0,14.12857142857143,6.1571428571428575,77.0,17.200000000000003,3.3,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,1
2011-01-17,七股區,2011,1,0.0,16.214285714285715,7.414285714285714,76.14285714285714,28.4,3.5,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,1
2011-01-24,七股區,2011,1,0.0,15.62857142857143,7.1000000000000005,74.85714285714286,35.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,1
2011-01-31,七股區,2011,1,0.0,16.7,9.914285714285715,71.57142857142857,54.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,1
2011-02-07,七股區,2011,2,0.0,18.5,8.628571428571428,67.85714285714286,46.9,0.6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,1
2011-02-14,七股區,2011,2,0.0,16.1,7.414285714285714,78.57142857142857,27.3,4.2,6.7,0.3333333333333333,2.3808333333333334,0.0,0.0,0.0,0.0,0.3333333333333333,0.01,1
2011-02-21,七股區,2011,2,0.0,19.214285714285715,8.714285714285714,74.0,51.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,1
2011-02-28,七股區,2011,2,0.0,19.042857142857144,9.514285714285714,69.14285714285714,41.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,1
2011-03-07,七股區,2011,3,0.0,19.314285714285713,8.257142857142856,68.14285714285714,36.3,0.0,0.0,1.0,6.25,1.0,0.0,0.0,0.0,1.0,0.01,1
2011-03-14,七股區,2011,3,0.0,20.814285714285713,9.085714285714285,67.42857142857143,33.8,0.0,0.0,1.5,2.8845,0.5,0.0,0.0,0.0,1.5,0.01,1
2011-03-21,七股區,2011,3,0.0,18.657142857142855,6.957142857142856,68.71428571428571,27.6,4.8,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,1
2011-03-28,七股區,2011,3,0.0,20.071428571428573,8.214285714285714,67.28571428571429,35.6,7.300000000000001,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,1
2011-04-04,七股區,2011,4,0.0,22.02857142857143,8.528571428571428,66.42857142857143,50.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,1
2011-04-11,七股區,2011,4,0.0,24.685714285714287,6.8999999999999995,68.57142857142857,38.1,2.7,23.0,1.5,3.044,1.5,0.0,0.0,0.0,1.5,0.01,1
